make_model,power_kW,age,empty_weight,mileage,gearbox,gears,drivetrain,cons_avg,co_emissions,price
Mercedes-Benz A 180,85.0,2.0,1330.0,27150.0,Manual,6.0,Front,4.5,120.0,24400.0
Mercedes-Benz A 180,80.0,12.0,1295.0,157500.0,Manual,6.0,Front,5.2,138.0,7450.0
Mercedes-Benz A 180,85.0,2.0,1445.0,21734.0,Automatic,7.0,Front,3.9,99.5,29800.0
Mercedes-Benz A 180,80.0,4.0,1425.0,172700.0,Automatic,7.0,Front,3.7,99.5,21000.0
Mercedes-Benz A 180,85.0,2.0,1455.0,18989.0,Automatic,7.0,Front,3.9,99.5,26800.0
Mercedes-Benz A 180,100.0,1.0,1350.0,25.0,Manual,6.0,Front,0.0,126.0,32900.0
Mercedes-Benz A 180,80.0,4.0,1425.0,172700.0,Automatic,7.0,Front,3.7,99.5,21000.0
Mercedes-Benz A 180,100.0,2.0,1295.0,20124.0,Automatic,7.0,Front,5.6,128.0,32950.0
Mercedes-Benz A 180,90.0,5.0,1395.0,63871.0,Automatic,7.0,Front,5.4,126.0,18390.0
Mercedes-Benz A 180,100.0,2.0,1350.0,26900.0,Manual,6.0,Front,0.0,126.0,25900.0
Mercedes-Benz A 180,85.0,4.0,1445.0,87700.0,Automatic,7.0,Front,3.9,99.5,25400.0
Mercedes-Benz A 180,100.0,3.0,1295.0,52497.0,Automatic,7.0,Front,5.6,127.0,29900.0
Mercedes-Benz A 180,80.0,8.0,1295.0,118059.0,Manual,6.0,Front,3.8,98.0,14490.0
Mercedes-Benz A 180,85.0,3.0,1295.0,98258.0,Manual,6.0,Front,4.2,99.5,20630.0
Mercedes-Benz A 180,85.0,11.0,1295.0,141980.0,Automatic,7.0,Front,7.3,173.0,8490.0
Mercedes-Benz A 180,80.0,4.0,1425.0,71098.0,Automatic,7.0,Front,3.7,99.5,23850.0
Mercedes-Benz A 180,85.0,1.0,1445.0,26500.0,Automatic,7.0,Front,3.9,99.5,29900.0
Mercedes-Benz A 180,85.0,3.0,1445.0,43987.0,Automatic,7.0,Front,3.9,99.5,25900.0
Mercedes-Benz A 180,80.0,6.0,1425.0,139000.0,Automatic,7.0,Front,3.7,99.5,16700.0
Mercedes-Benz A 180,80.0,4.0,1425.0,71098.0,Automatic,7.0,Front,3.7,99.5,23850.0
Mercedes-Benz A 180,100.0,2.0,1350.0,58813.0,Automatic,7.0,Front,5.4,124.0,27460.0
Mercedes-Benz A 180,85.0,3.0,1295.0,98258.0,Manual,6.0,Front,4.2,99.5,20630.0
Mercedes-Benz A 180,80.0,4.0,1425.0,172700.0,Automatic,7.0,Front,3.7,99.5,21000.0
Mercedes-Benz A 180,85.0,3.0,1455.0,68900.0,Automatic,7.0,Front,3.9,99.5,29900.0
Mercedes-Benz A 180,85.0,4.0,1445.0,49600.0,Automatic,7.0,Front,3.9,99.5,25600.0
Mercedes-Benz A 180,100.0,2.0,1365.0,28330.0,Automatic,7.0,Front,0.0,126.0,26850.0
Mercedes-Benz A 180,100.0,2.0,1295.0,67626.0,Automatic,7.0,Front,5.3,121.0,25990.0
Mercedes-Benz A 180,80.0,4.0,1425.0,61618.0,Automatic,7.0,Front,3.7,99.5,27800.0
Mercedes-Benz A 180,100.0,2.0,1295.0,17115.0,Automatic,7.0,Front,5.3,126.0,29999.0
Mercedes-Benz A 180,100.0,1.0,1295.0,19785.0,Automatic,7.0,Front,5.4,126.0,27900.0
Mercedes-Benz A 180,85.0,3.0,1455.0,91754.0,Automatic,7.0,Front,3.9,99.5,27490.0
Mercedes-Benz A 180,90.0,4.0,1370.0,46403.0,Automatic,7.0,Front,5.5,130.0,24780.0
Mercedes-Benz A 180,85.0,10.0,1260.0,49658.0,Manual,5.0,Front,6.6,156.0,9770.0
Mercedes-Benz A 180,80.0,4.0,1425.0,71098.0,Automatic,7.0,Front,3.7,99.5,23850.0
Mercedes-Benz A 180,100.0,0.0,1295.0,23644.0,Automatic,7.0,Front,5.3,121.0,31950.0
Mercedes-Benz A 180,100.0,3.0,1365.0,78300.0,Automatic,7.0,Front,0.0,126.0,25000.0
Mercedes-Benz A 180,80.0,7.0,1295.0,93914.0,Manual,6.0,Front,3.8,92.0,14700.0
Mercedes-Benz A 180,80.0,10.0,1345.0,199000.0,Automatic,1.0,Front,5.2,99.5,8950.0
Mercedes-Benz A 180,80.0,8.0,1285.0,194367.0,Manual,6.0,Front,3.6,92.0,10950.0
Mercedes-Benz A 180,80.0,5.0,1325.0,184748.0,Automatic,6.0,Front,3.7,98.0,16750.0
Mercedes-Benz A 180,80.0,6.0,1285.0,236233.0,Manual,6.0,Front,3.5,89.0,12950.0
Mercedes-Benz A 180,80.0,6.0,1285.0,177477.0,Manual,6.0,Front,3.5,89.0,12445.0
Mercedes-Benz A 180,90.0,8.0,1295.0,188018.0,Automatic,8.0,Front,5.6,131.0,14945.0
Mercedes-Benz A 180,80.0,10.0,1295.0,165282.0,Manual,6.0,Front,4.0,105.0,16950.0
Mercedes-Benz A 180,80.0,5.0,1295.0,141989.0,Manual,6.0,Front,3.9,102.0,19950.0
Mercedes-Benz A 180,80.0,16.0,1345.0,179000.0,Automatic,6.0,Front,5.2,99.5,6400.0
Mercedes-Benz A 180,80.0,10.0,1345.0,123000.0,Manual,6.0,Front,5.2,99.5,13990.0
Mercedes-Benz A 180,85.0,3.0,1295.0,51078.0,Automatic,7.0,Front,4.1,99.5,23990.0
Mercedes-Benz A 180,80.0,8.0,1295.0,154000.0,Automatic,7.0,Front,3.9,102.0,16800.0
Mercedes-Benz A 180,85.0,3.0,1295.0,51078.0,Automatic,7.0,Front,4.1,99.5,23990.0
Mercedes-Benz A 180,80.0,4.0,1425.0,61618.0,Automatic,7.0,Front,3.7,99.5,27800.0
Mercedes-Benz A 180,100.0,2.0,1365.0,25681.0,Automatic,7.0,Front,0.0,126.0,26850.0
Mercedes-Benz A 180,85.0,3.0,1325.0,99597.0,Automatic,7.0,Front,4.6,99.5,31450.0
Mercedes-Benz A 180,90.0,6.0,1270.0,99939.0,Manual,6.0,Front,5.6,131.0,17944.0
Mercedes-Benz A 180,85.0,3.0,1445.0,29721.0,Automatic,7.0,Front,3.9,99.5,23536.0
Mercedes-Benz A 180,80.0,9.0,1285.0,140230.0,Manual,6.0,Front,3.6,92.0,12245.0
Mercedes-Benz A 180,80.0,4.0,1425.0,61618.0,Automatic,7.0,Front,3.7,99.5,27800.0
Mercedes-Benz A 180,90.0,7.0,1295.0,135462.0,Automatic,7.0,Front,5.3,124.0,16945.0
Mercedes-Benz A 180,90.0,4.0,1295.0,82571.0,Automatic,7.0,Front,5.4,126.0,26980.0
Mercedes-Benz A 180,90.0,7.0,1295.0,96488.0,Automatic,8.0,Front,5.3,124.0,18945.0
Mercedes-Benz A 180,90.0,4.0,1295.0,109275.0,Automatic,7.0,Front,5.4,126.0,22950.0
Mercedes-Benz A 180,90.0,9.0,1270.0,161839.0,Manual,6.0,Front,5.5,128.0,12295.0
Mercedes-Benz A 180,85.0,4.0,1445.0,96300.0,Automatic,7.0,Front,3.9,99.5,27400.0
Mercedes-Benz A 180,100.0,4.0,1265.0,74458.0,Automatic,7.0,Front,5.3,122.0,34950.0
Mercedes-Benz A 180,100.0,1.0,1265.0,14683.0,Automatic,7.0,Front,6.1,126.0,35950.0
Mercedes-Benz A 180,90.0,7.0,1295.0,108208.0,Manual,6.0,Front,5.4,126.0,18750.0
Mercedes-Benz A 180,90.0,9.0,1270.0,100532.0,Manual,6.0,Front,5.7,133.0,15250.0
Mercedes-Benz A 180,85.0,3.0,1295.0,86000.0,Automatic,6.0,Front,8.0,0.0,27250.0
Mercedes-Benz A 180,85.0,4.0,1345.0,70840.0,Automatic,7.0,Front,3.9,108.0,28590.0
Mercedes-Benz A 180,85.0,3.0,1445.0,25919.0,Automatic,7.0,Front,0.0,103.0,23190.0
Mercedes-Benz A 180,90.0,9.0,1260.0,133773.0,Manual,6.0,Front,5.2,120.0,13950.0
Mercedes-Benz A 180,79.0,4.0,1285.0,198291.0,Manual,6.0,Front,3.5,89.0,17995.0
Mercedes-Benz A 180,90.0,6.0,1270.0,75594.0,Manual,6.0,Front,5.2,120.0,17950.0
Mercedes-Benz A 180,85.0,3.0,1445.0,29999.0,Automatic,7.0,Front,3.9,99.5,26890.0
Mercedes-Benz A 180,80.0,6.0,1325.0,96010.0,Automatic,7.0,Front,3.7,98.0,18999.0
Mercedes-Benz A 180,85.0,1.0,1295.0,33349.0,Automatic,7.0,Front,4.6,121.0,28490.0
Mercedes-Benz A 180,90.0,8.0,1295.0,132111.0,Automatic,7.0,Front,5.7,133.0,17950.0
Mercedes-Benz A 180,90.0,7.0,1295.0,102998.0,Automatic,7.0,Front,5.4,126.0,18400.0
Mercedes-Benz A 180,90.0,6.0,1295.0,50340.0,Automatic,7.0,Front,5.2,121.0,21945.0
Mercedes-Benz A 180,90.0,7.0,1295.0,87385.0,Automatic,7.0,Front,5.1,0.0,21950.0
Mercedes-Benz A 180,100.0,3.0,1265.0,89805.0,Automatic,7.0,Front,5.3,122.0,26950.0
Mercedes-Benz A 180,90.0,7.0,1295.0,113023.0,Automatic,7.0,Front,5.4,126.0,16850.0
Mercedes-Benz A 180,90.0,5.0,1295.0,109367.0,Automatic,7.0,Front,5.4,126.0,21995.0
Mercedes-Benz A 180,90.0,4.0,1295.0,44319.0,Automatic,7.0,Front,5.4,126.0,26245.0
Mercedes-Benz A 180,90.0,5.0,1295.0,92469.0,Automatic,7.0,Front,5.4,126.0,21995.0
Mercedes-Benz A 180,85.0,3.0,1295.0,38236.0,Automatic,7.0,Front,3.9,99.5,27890.0
Mercedes-Benz A 180,80.0,8.0,1285.0,123617.0,Manual,6.0,Front,3.6,92.0,13845.0
Mercedes-Benz A 180,100.0,2.0,1295.0,25780.0,Manual,6.0,Front,5.3,121.0,27490.0
Mercedes-Benz A 180,85.0,1.0,1295.0,22042.0,Automatic,7.0,Front,4.6,121.0,29490.0
Mercedes-Benz A 180,81.0,4.0,1295.0,73301.0,Automatic,7.0,Front,3.9,104.0,19999.0
Mercedes-Benz A 180,100.0,3.0,1265.0,29500.0,Automatic,7.0,Front,5.2,127.0,30899.0
Mercedes-Benz A 180,100.0,2.0,1265.0,49444.0,Automatic,7.0,Front,4.1,138.0,32750.0
Mercedes-Benz A 180,90.0,6.0,1295.0,67120.0,Automatic,7.0,Front,5.3,119.0,21490.0
Mercedes-Benz A 180,81.0,4.0,1295.0,71482.0,Automatic,7.0,Front,3.9,101.0,20999.0
Mercedes-Benz A 180,90.0,8.0,1295.0,99533.0,Automatic,7.0,Front,5.7,133.0,18995.0
Mercedes-Benz A 180,80.0,10.0,1345.0,191074.0,Manual,6.0,Front,5.2,99.5,6800.0
Mercedes-Benz A 180,80.0,9.0,1425.0,270000.0,Automatic,7.0,Front,3.9,99.5,15590.0
Mercedes-Benz A 180,85.0,4.0,1445.0,79163.0,Automatic,7.0,Front,3.9,99.5,23868.0
Mercedes-Benz A 180,80.0,7.0,1425.0,114000.0,Automatic,7.0,Front,3.7,99.5,15900.0
Mercedes-Benz A 180,80.0,5.0,1395.0,80999.0,Manual,6.0,Front,3.7,99.5,15690.0
Mercedes-Benz A 180,80.0,15.0,1345.0,242000.0,Manual,6.0,Front,5.2,99.5,4500.0
Mercedes-Benz A 180,90.0,5.0,1395.0,63871.0,Automatic,7.0,Front,5.4,126.0,18390.0
Mercedes-Benz A 180,85.0,3.0,1445.0,29000.0,Automatic,7.0,Front,3.9,99.5,23490.0
Mercedes-Benz A 180,80.0,2.0,1345.0,94467.0,Automatic,1.0,Front,5.2,99.5,26390.0
Mercedes-Benz A 180,85.0,1.0,1295.0,29600.0,Automatic,8.0,Front,0.0,99.5,30500.0
Mercedes-Benz A 180,85.0,4.0,1445.0,79163.0,Automatic,7.0,Front,3.9,99.5,23868.0
Mercedes-Benz A 180,80.0,7.0,1295.0,160000.0,Manual,6.0,Front,3.8,99.5,16500.0
Mercedes-Benz A 180,85.0,4.0,1445.0,28000.0,Automatic,7.0,Front,3.9,99.5,25490.0
Mercedes-Benz A 180,85.0,3.0,1295.0,51078.0,Automatic,7.0,Front,4.1,99.5,23990.0
Mercedes-Benz A 180,80.0,3.0,1425.0,123462.0,Automatic,7.0,Front,3.7,99.5,22700.0
Mercedes-Benz A 180,90.0,5.0,1395.0,63871.0,Automatic,7.0,Front,5.4,126.0,18390.0
Mercedes-Benz A 180,80.0,8.0,1425.0,82000.0,Automatic,7.0,Front,3.9,99.5,17490.0
Mercedes-Benz A 180,85.0,3.0,1295.0,51078.0,Automatic,7.0,Front,4.1,99.5,23990.0
Mercedes-Benz A 180,80.0,8.0,1395.0,198000.0,Manual,6.0,Front,4.1,99.5,13900.0
Mercedes-Benz A 180,80.0,5.0,1395.0,164305.0,Manual,6.0,Front,3.7,99.5,19890.0
Mercedes-Benz A 180,85.0,1.0,1445.0,40000.0,Automatic,7.0,Front,3.9,99.5,30990.0
Mercedes-Benz A 180,80.0,5.0,1425.0,93000.0,Automatic,7.0,Front,3.9,101.0,21750.0
Mercedes-Benz A 180,80.0,6.0,1425.0,132673.0,Automatic,7.0,Front,3.9,101.0,16500.0
Mercedes-Benz A 180,100.0,2.0,1380.0,20124.0,Automatic,7.0,Front,5.3,128.0,32950.0
Mercedes-Benz A 180,85.0,2.0,1460.0,66000.0,Automatic,6.0,Front,3.8,101.0,27990.0
Mercedes-Benz A 180,85.0,3.0,1425.0,38727.0,Automatic,7.0,Front,3.8,100.0,29990.0
Mercedes-Benz A 180,85.0,3.0,1425.0,42968.0,Automatic,7.0,Front,3.8,121.0,25990.0
Mercedes-Benz A 180,90.0,8.0,1370.0,125830.0,Manual,6.0,Front,5.5,130.0,15480.0
Opel Corsa,55.0,5.0,1237.0,127000.0,Manual,5.0,Front,3.8,94.0,4980.0
Opel Astra,177.0,14.0,1360.0,200000.0,Manual,6.0,Front,9.2,138.5,9999.0
Opel Corsa,55.0,6.0,1237.0,132000.0,Manual,5.0,Front,3.8,94.0,5980.0
Opel Corsa,51.0,8.0,1055.0,143078.0,Manual,5.0,Front,5.5,130.0,5480.0
Opel Corsa,152.0,6.0,1293.0,75700.0,Manual,6.0,Front,7.5,177.0,15749.0
Opel Corsa,74.0,0.0,1165.0,1.0,Manual,6.0,Front,0.0,106.5,15900.0
Opel Astra,81.0,12.0,1373.0,214000.0,Manual,6.0,Front,4.7,88.0,5000.0
Opel Corsa,64.0,11.0,1055.0,110452.0,Manual,5.0,Front,5.7,135.0,5290.0
Opel Astra,100.0,6.0,1350.0,49817.0,Manual,6.0,Front,3.9,88.0,13400.0
Opel Astra,132.0,0.0,1350.0,1.0,Automatic,8.0,Front,0.0,138.5,31500.0
Opel Corsa,55.0,10.0,1100.0,406000.0,Manual,5.0,Front,4.2,94.0,3900.0
Opel Corsa,66.0,6.0,1163.0,72090.0,Automatic,6.0,Front,5.9,135.0,11470.0
Opel Corsa,66.0,4.0,1063.0,93657.0,Automatic,5.0,Front,4.8,112.0,11300.0
Opel Corsa,55.0,10.0,1235.0,151000.0,Manual,5.0,Front,4.2,112.0,5600.0
